parameter_name,sub_parameter_name,param_unit,ts,value,Current_Mean_Value,Current_Sigma_Value,Design_Value
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:59,140.6919113,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:58,140.6863918,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:57,140.6578694,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:56,139.0125117,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:55,137.6569201,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:54,136.615781,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:53,137.2273265,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:52,138.4559332,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:51,138.1935744,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:50,137.4200176,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:49,136.3919592,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:48,137.9342703,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:47,139.5396905,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:46,139.1500474,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:45,137.6150142,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:44,132.5812158,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:43,129.2346661,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:42,125.5003871,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:41,127.8416963,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:40,130.1590179,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:39,135.3808911,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:38,138.1738315,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:37,140.9131606,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:36,140.8630773,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:35,139.3380636,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:34,137.5574466,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:33,136.4017328,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:32,132.841486,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:31,129.180658,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:30,127.4554109,133.8666667,1.93768997,135
APH Outlet temperature,Flue Gas Temperature Profile,DEGC,25-10-2025 12:29,129.5305876,133.8666667,1.93768997,135
